img_id,img_name,Point-only_mIoU,Point(Adaptive)_mIoU,is_complex_image,complex_label
357816,000000357816.jpg,0.5611,0.6261,False,简单图片
323799,000000323799.jpg,0.4565,0.5031,True,复杂图片
263463,000000263463.jpg,0.5574,0.6703,False,简单图片
473219,000000473219.jpg,0.5931,0.7028,False,简单图片
93437,000000093437.jpg,0.4604,0.5917,True,复杂图片
105014,000000105014.jpg,0.4948,0.5144,False,简单图片
91406,000000091406.jpg,0.5811,0.5639,True,复杂图片
19786,000000019786.jpg,0.5777,0.5906,False,简单图片
481390,000000481390.jpg,0.498,0.5616,True,复杂图片
11813,000000011813.jpg,0.7458,0.847,False,简单图片
289343,000000289343.jpg,0.4578,0.5332,True,复杂图片
503823,000000503823.jpg,0.4896,0.5109,True,复杂图片
468632,000000468632.jpg,0.4455,0.5807,True,复杂图片
32817,000000032817.jpg,0.3025,0.6912,False,简单图片
52507,000000052507.jpg,0.4842,0.6225,True,复杂图片
43816,000000043816.jpg,0.699,0.7383,True,复杂图片
53624,000000053624.jpg,0.6443,0.6748,True,复杂图片
175438,000000175438.jpg,0.5668,0.6094,False,简单图片
143572,000000143572.jpg,0.5189,0.6094,False,简单图片
445602,000000445602.jpg,0.1213,0.3438,True,复杂图片
355677,000000355677.jpg,0.6932,0.1126,False,简单图片
484978,000000484978.jpg,0.5226,0.5496,False,简单图片
368038,000000368038.jpg,0.0185,0.5955,False,简单图片
500613,000000500613.jpg,0.4115,0.6583,False,简单图片
502737,000000502737.jpg,0.5816,0.5772,False,简单图片
172571,000000172571.jpg,0.4374,0.4285,False,简单图片
475064,000000475064.jpg,0.649,0.7439,False,简单图片
76547,000000076547.jpg,0.5057,0.5429,False,简单图片
302882,000000302882.jpg,0.1158,0.4185,False,简单图片
185802,000000185802.jpg,0.4852,0.6422,False,简单图片
133778,000000133778.jpg,0.9085,0.9099,True,复杂图片
34257,000000034257.jpg,0.3797,0.3512,False,简单图片
15272,000000015272.jpg,0.0296,0.0295,False,简单图片
17379,000000017379.jpg,0.7122,0.7137,False,简单图片
277584,000000277584.jpg,0.3857,0.4494,False,简单图片
437110,000000437110.jpg,0.9508,0.9547,True,复杂图片
177213,000000177213.jpg,0.6148,0.6029,False,简单图片
463842,000000463842.jpg,0.7372,0.7588,False,简单图片
145020,000000145020.jpg,0.3584,0.3491,True,复杂图片
78748,000000078748.jpg,0.4577,0.4685,False,简单图片
277689,000000277689.jpg,0.62,0.6702,False,简单图片
571943,000000571943.jpg,0.2312,0.2317,False,简单图片
372317,000000372317.jpg,0.9351,0.9293,True,复杂图片
16451,000000016451.jpg,0.6114,0.6166,False,简单图片
463174,000000463174.jpg,0.5886,0.5975,True,复杂图片
509719,000000509719.jpg,0.7819,0.4624,True,复杂图片
212895,000000212895.jpg,0.7826,0.813,True,复杂图片
174482,000000174482.jpg,0.7331,0.681,False,简单图片
299553,000000299553.jpg,0.6276,0.5982,True,复杂图片
374369,000000374369.jpg,0.3303,0.1342,True,复杂图片
271402,000000271402.jpg,0.5369,0.675,True,复杂图片
21903,000000021903.jpg,0.5224,0.7217,False,简单图片
111036,000000111036.jpg,0.9026,0.9034,False,简单图片
507797,000000507797.jpg,0.5316,0.573,True,复杂图片
547144,000000547144.jpg,0.7941,0.7422,False,简单图片
213830,000000213830.jpg,0.3598,0.5487,True,复杂图片
6012,000000006012.jpg,0.6405,0.0989,False,简单图片
47571,000000047571.jpg,0.5822,0.7896,True,复杂图片
355240,000000355240.jpg,0.4835,0.6471,True,复杂图片
461573,000000461573.jpg,0.0649,0.1948,True,复杂图片
134722,000000134722.jpg,0.7604,0.7696,False,简单图片
279769,000000279769.jpg,0.3789,0.4076,False,简单图片
302165,000000302165.jpg,0.6037,0.5806,True,复杂图片
137294,000000137294.jpg,0.1664,0.3707,False,简单图片
489305,000000489305.jpg,0.5825,0.5839,False,简单图片
144798,000000144798.jpg,0.7852,0.7839,False,简单图片
309655,000000309655.jpg,0.5794,0.5565,True,复杂图片
112626,000000112626.jpg,0.5337,0.5332,False,简单图片
431896,000000431896.jpg,0.019,0.0192,False,简单图片
7818,000000007818.jpg,0.4916,0.6113,True,复杂图片
219283,000000219283.jpg,0.6844,0.6807,False,简单图片
323263,000000323263.jpg,0.4599,0.4565,False,简单图片
474786,000000474786.jpg,0.6045,0.6797,False,简单图片
23126,000000023126.jpg,0.4354,0.5416,True,复杂图片
94751,000000094751.jpg,0.5465,0.5634,True,复杂图片
370375,000000370375.jpg,0.688,0.6972,False,简单图片
565989,000000565989.jpg,0.8817,0.8835,False,简单图片
125211,000000125211.jpg,0.9188,0.9304,False,简单图片
151000,000000151000.jpg,0.5793,0.5646,True,复杂图片
339823,000000339823.jpg,0.8329,0.7679,False,简单图片
544565,000000544565.jpg,0.5787,0.5591,False,简单图片
35326,000000035326.jpg,0.4176,0.2688,False,简单图片
94871,000000094871.jpg,0.6413,0.7294,True,复杂图片
562561,000000562561.jpg,0.7462,0.7445,False,简单图片
46463,000000046463.jpg,0.3507,0.3709,False,简单图片
463527,000000463527.jpg,0.4825,0.5667,False,简单图片
532901,000000532901.jpg,0.5364,0.5183,False,简单图片
189806,000000189806.jpg,0.4649,0.5842,False,简单图片
454661,000000454661.jpg,0.4302,0.4046,False,简单图片
549220,000000549220.jpg,0.5148,0.4473,False,简单图片
301061,000000301061.jpg,0.1597,0.5166,True,复杂图片
555005,000000555005.jpg,0.6056,0.5825,False,简单图片
176901,000000176901.jpg,0.281,0.3754,True,复杂图片
246968,000000246968.jpg,0.4265,0.4617,True,复杂图片
374727,000000374727.jpg,0.0,0.0,False,简单图片
102356,000000102356.jpg,0.2409,0.422,True,复杂图片
511453,000000511453.jpg,0.4191,0.6299,False,简单图片
109827,000000109827.jpg,0.8665,0.8662,False,简单图片
572462,000000572462.jpg,0.47,0.4412,False,简单图片
311392,000000311392.jpg,0.5974,0.6266,True,复杂图片
452122,000000452122.jpg,0.8706,0.867,True,复杂图片
370677,000000370677.jpg,0.5648,0.5297,True,复杂图片
286523,000000286523.jpg,0.0042,0.1788,True,复杂图片
356261,000000356261.jpg,0.0841,0.4667,True,复杂图片
13348,000000013348.jpg,0.6648,0.6331,True,复杂图片
57150,000000057150.jpg,0.4355,0.4782,False,简单图片
387383,000000387383.jpg,0.371,0.7132,True,复杂图片
406129,000000406129.jpg,0.7384,0.7711,True,复杂图片
394275,000000394275.jpg,0.3747,0.3907,False,简单图片
386352,000000386352.jpg,0.3309,0.4359,False,简单图片
117525,000000117525.jpg,0.6652,0.7348,False,简单图片
433774,000000433774.jpg,0.7296,0.5866,True,复杂图片
179765,000000179765.jpg,0.0308,0.1618,True,复杂图片
83113,000000083113.jpg,0.8579,0.8927,True,复杂图片
440171,000000440171.jpg,0.5206,0.1877,False,简单图片
16010,000000016010.jpg,0.6793,0.5797,True,复杂图片
523241,000000523241.jpg,0.6251,0.7803,False,简单图片
560011,000000560011.jpg,0.6038,0.5985,False,简单图片
433374,000000433374.jpg,0.7361,0.8696,False,简单图片
453302,000000453302.jpg,0.4851,0.457,False,简单图片
456292,000000456292.jpg,0.4179,0.4177,False,简单图片
576052,000000576052.jpg,0.5288,0.5185,True,复杂图片
476787,000000476787.jpg,0.5684,0.6211,False,简单图片
362682,000000362682.jpg,0.6898,0.3434,False,简单图片
390246,000000390246.jpg,0.7073,0.7074,True,复杂图片
446703,000000446703.jpg,0.4185,0.6923,False,简单图片
355817,000000355817.jpg,0.2852,0.2777,False,简单图片
84170,000000084170.jpg,0.5134,0.5881,False,简单图片
534827,000000534827.jpg,0.3178,0.3698,True,复杂图片
172396,000000172396.jpg,0.0851,0.121,False,简单图片
70158,000000070158.jpg,0.5177,0.6602,True,复杂图片
539143,000000539143.jpg,0.0198,0.937,False,简单图片
524850,000000524850.jpg,0.5894,0.5782,True,复杂图片
165713,000000165713.jpg,0.5409,0.5346,False,简单图片
87038,000000087038.jpg,0.5874,0.6026,True,复杂图片
550426,000000550426.jpg,0.263,0.2678,False,简单图片
73118,000000073118.jpg,0.4554,0.6841,False,简单图片
370818,000000370818.jpg,0.7847,0.7903,False,简单图片
549674,000000549674.jpg,0.4902,0.4896,False,简单图片
530146,000000530146.jpg,0.6236,0.6203,False,简单图片
44260,000000044260.jpg,0.8552,0.8652,False,简单图片
320642,000000320642.jpg,0.6102,0.6656,False,简单图片
537991,000000537991.jpg,0.5183,0.494,False,简单图片
47828,000000047828.jpg,0.6396,0.621,True,复杂图片
90891,000000090891.jpg,0.3059,0.3332,False,简单图片
147729,000000147729.jpg,0.6747,0.5905,False,简单图片
479596,000000479596.jpg,0.7703,0.7481,False,简单图片
92839,000000092839.jpg,0.9449,0.9437,False,简单图片
211042,000000211042.jpg,0.5223,0.5198,True,复杂图片
476415,000000476415.jpg,0.4611,0.5158,False,简单图片
300341,000000300341.jpg,0.6347,0.6444,False,简单图片
353518,000000353518.jpg,0.4984,0.4339,False,简单图片
486040,000000486040.jpg,0.7021,0.751,False,简单图片
135890,000000135890.jpg,0.7541,0.7432,True,复杂图片
330818,000000330818.jpg,0.6057,0.6788,False,简单图片
478286,000000478286.jpg,0.0114,0.0198,False,简单图片
315492,000000315492.jpg,0.4912,0.6004,False,简单图片
307074,000000307074.jpg,0.5621,0.565,True,复杂图片
78565,000000078565.jpg,0.6263,0.6056,True,复杂图片
55950,000000055950.jpg,0.7104,0.7111,False,简单图片
365385,000000365385.jpg,0.3359,0.7394,False,简单图片
148707,000000148707.jpg,0.4821,0.8898,True,复杂图片
117374,000000117374.jpg,0.7337,0.7291,False,简单图片
309938,000000309938.jpg,0.4839,0.6291,False,简单图片
88432,000000088432.jpg,0.4812,0.6311,False,简单图片
43581,000000043581.jpg,0.161,0.501,False,简单图片
12576,000000012576.jpg,0.5397,0.611,False,简单图片
491008,000000491008.jpg,0.5137,0.505,False,简单图片
523782,000000523782.jpg,0.3019,0.6889,False,简单图片
220310,000000220310.jpg,0.2555,0.6119,False,简单图片
133244,000000133244.jpg,0.5189,0.5377,False,简单图片
409198,000000409198.jpg,0.4787,0.5742,True,复杂图片
122166,000000122166.jpg,0.6311,0.6246,True,复杂图片
523033,000000523033.jpg,0.6955,0.6963,True,复杂图片
442306,000000442306.jpg,0.4666,0.934,True,复杂图片
571718,000000571718.jpg,0.4358,0.4617,False,简单图片
231097,000000231097.jpg,0.5615,0.5478,False,简单图片
318138,000000318138.jpg,0.5309,0.6567,False,简单图片
194471,000000194471.jpg,0.5209,0.6274,True,复杂图片
396274,000000396274.jpg,0.8162,0.8131,False,简单图片
199395,000000199395.jpg,0.5587,0.323,True,复杂图片
162130,000000162130.jpg,0.8438,0.8266,True,复杂图片
380706,000000380706.jpg,0.6402,0.6742,True,复杂图片
296284,000000296284.jpg,0.8474,0.8596,False,简单图片
23666,000000023666.jpg,0.8925,0.0811,False,简单图片
29596,000000029596.jpg,0.4084,0.3229,False,简单图片
432085,000000432085.jpg,0.6656,0.6647,False,简单图片
210388,000000210388.jpg,0.4422,0.6197,False,简单图片
469174,000000469174.jpg,0.8696,0.8998,True,复杂图片
417249,000000417249.jpg,0.5581,0.6538,False,简单图片
216419,000000216419.jpg,0.1209,0.1257,False,简单图片
392933,000000392933.jpg,0.7011,0.7287,True,复杂图片
202228,000000202228.jpg,0.1908,0.9137,True,复杂图片
385997,000000385997.jpg,0.4658,0.4989,True,复杂图片
567011,000000567011.jpg,0.7385,0.7439,True,复杂图片
580410,000000580410.jpg,0.5713,0.4799,True,复杂图片
512330,000000512330.jpg,0.5568,0.6149,True,复杂图片
212226,000000212226.jpg,0.037,0.593,True,复杂图片
151516,000000151516.jpg,0.0674,0.8663,True,复杂图片
91619,000000091619.jpg,0.0479,0.0483,False,简单图片
500826,000000500826.jpg,0.2159,0.8368,False,简单图片
326542,000000326542.jpg,0.6734,0.6587,True,复杂图片
429761,000000429761.jpg,0.7242,0.5857,True,复杂图片
259597,000000259597.jpg,0.4304,0.4889,False,简单图片
513567,000000513567.jpg,0.5067,0.5612,True,复杂图片
341058,000000341058.jpg,0.5788,0.6343,False,简单图片
379476,000000379476.jpg,0.331,0.3413,False,简单图片
186873,000000186873.jpg,0.7163,0.7532,True,复杂图片
131556,000000131556.jpg,0.3821,0.4795,True,复杂图片
463849,000000463849.jpg,0.578,0.5231,True,复杂图片
311883,000000311883.jpg,0.7241,0.6751,True,复杂图片
33759,000000033759.jpg,0.5632,0.5253,True,复杂图片
537964,000000537964.jpg,0.7959,0.9061,False,简单图片
250205,000000250205.jpg,0.3602,0.6188,True,复杂图片
304812,000000304812.jpg,0.623,0.5082,True,复杂图片
80274,000000080274.jpg,0.408,0.6842,True,复杂图片
130579,000000130579.jpg,0.8623,0.6593,False,简单图片
446522,000000446522.jpg,0.491,0.4747,True,复杂图片
226984,000000226984.jpg,0.5409,0.5243,True,复杂图片
86755,000000086755.jpg,0.4063,0.5427,True,复杂图片
579902,000000579902.jpg,0.3405,0.4879,False,简单图片
416343,000000416343.jpg,0.501,0.6836,False,简单图片
449603,000000449603.jpg,0.4622,0.5564,True,复杂图片
15278,000000015278.jpg,0.0059,0.0073,False,简单图片
570448,000000570448.jpg,0.66,0.5999,True,复杂图片
236599,000000236599.jpg,0.5486,0.6449,True,复杂图片
529122,000000529122.jpg,0.3789,0.284,True,复杂图片
58636,000000058636.jpg,0.0,0.0,False,简单图片
210520,000000210520.jpg,0.6695,0.641,False,简单图片
140556,000000140556.jpg,0.5064,0.5328,False,简单图片
242724,000000242724.jpg,0.226,0.5493,False,简单图片
104603,000000104603.jpg,0.832,0.841,True,复杂图片
228771,000000228771.jpg,0.0,0.0,False,简单图片
296222,000000296222.jpg,0.4709,0.4195,False,简单图片
356498,000000356498.jpg,0.7136,0.7054,False,简单图片
511076,000000511076.jpg,0.5715,0.6094,True,复杂图片
468505,000000468505.jpg,0.4711,0.4779,True,复杂图片
377635,000000377635.jpg,0.6146,0.7159,True,复杂图片
379842,000000379842.jpg,0.1372,0.258,True,复杂图片
73153,000000073153.jpg,0.1509,0.1512,True,复杂图片
157418,000000157418.jpg,0.5299,0.6815,False,简单图片
309452,000000309452.jpg,0.5831,0.593,False,简单图片
410934,000000410934.jpg,0.8745,0.8779,False,简单图片
441553,000000441553.jpg,0.4267,0.5205,True,复杂图片
454978,000000454978.jpg,0.0858,0.0856,False,简单图片
555597,000000555597.jpg,0.6415,0.6208,True,复杂图片
581482,000000581482.jpg,0.0586,0.0491,False,简单图片
45472,000000045472.jpg,0.352,0.7635,False,简单图片
332570,000000332570.jpg,0.1746,0.6409,False,简单图片
430961,000000430961.jpg,0.5112,0.7139,True,复杂图片
461036,000000461036.jpg,0.854,0.8523,False,简单图片
311180,000000311180.jpg,0.4818,0.5354,True,复杂图片
97337,000000097337.jpg,0.4712,0.4357,False,简单图片
8629,000000008629.jpg,0.6748,0.6419,False,简单图片
440507,000000440507.jpg,0.3118,0.2431,True,复杂图片
525286,000000525286.jpg,0.0241,0.0231,False,简单图片
187990,000000187990.jpg,0.7779,0.4048,True,复杂图片
562229,000000562229.jpg,0.6087,0.449,True,复杂图片
265518,000000265518.jpg,0.2205,0.2181,True,复杂图片
245173,000000245173.jpg,0.5144,0.508,False,简单图片
193743,000000193743.jpg,0.7434,0.6493,True,复杂图片
504000,000000504000.jpg,0.4301,0.5142,True,复杂图片
91779,000000091779.jpg,0.5188,0.6154,False,简单图片
56344,000000056344.jpg,0.7814,0.67,False,简单图片
492362,000000492362.jpg,0.5796,0.4576,True,复杂图片
394328,000000394328.jpg,0.6879,0.27,False,简单图片
335450,000000335450.jpg,0.5878,0.513,True,复杂图片
224807,000000224807.jpg,0.5175,0.57,True,复杂图片
319935,000000319935.jpg,0.5359,0.507,False,简单图片
472375,000000472375.jpg,0.6567,0.6315,True,复杂图片
69356,000000069356.jpg,0.5551,0.5484,True,复杂图片
15440,000000015440.jpg,0.3269,0.2114,False,简单图片
327780,000000327780.jpg,0.3983,0.7794,True,复杂图片
368456,000000368456.jpg,0.1926,0.4077,False,简单图片
23781,000000023781.jpg,0.8644,0.7472,False,简单图片
150649,000000150649.jpg,0.3215,0.4915,True,复杂图片
133969,000000133969.jpg,0.4056,0.4801,True,复杂图片
17436,000000017436.jpg,0.4146,0.6021,False,简单图片
325306,000000325306.jpg,0.8036,0.8093,True,复杂图片
187362,000000187362.jpg,0.8342,0.8389,True,复杂图片
343076,000000343076.jpg,0.2731,0.4389,True,复杂图片
190753,000000190753.jpg,0.4946,0.4702,True,复杂图片
404191,000000404191.jpg,0.6063,0.9589,False,简单图片
273712,000000273712.jpg,0.9526,0.8199,False,简单图片
157601,000000157601.jpg,0.37,0.3798,False,简单图片
476514,000000476514.jpg,0.5999,0.6525,True,复杂图片
261888,000000261888.jpg,0.5156,0.6673,True,复杂图片
530820,000000530820.jpg,0.4358,0.4673,True,复杂图片
246963,000000246963.jpg,0.3606,0.4053,False,简单图片
458410,000000458410.jpg,0.6037,0.6061,True,复杂图片
360951,000000360951.jpg,0.7509,0.7546,False,简单图片
361919,000000361919.jpg,0.6486,0.5945,True,复杂图片
145665,000000145665.jpg,0.6409,0.8419,False,简单图片
22396,000000022396.jpg,0.9482,0.9396,True,复杂图片
131131,000000131131.jpg,0.3578,0.4163,False,简单图片
215072,000000215072.jpg,0.5591,0.5628,True,复杂图片
273617,000000273617.jpg,0.9089,0.8878,False,简单图片
156643,000000156643.jpg,0.4216,0.4279,False,简单图片
86956,000000086956.jpg,0.5609,0.7652,False,简单图片
205776,000000205776.jpg,0.8139,0.8261,False,简单图片
243626,000000243626.jpg,0.7396,0.7737,True,复杂图片
255401,000000255401.jpg,0.7455,0.5794,False,简单图片
425906,000000425906.jpg,0.4508,0.4152,False,简单图片
54931,000000054931.jpg,0.6425,0.6703,True,复杂图片
581062,000000581062.jpg,0.7135,0.2979,True,复杂图片
69213,000000069213.jpg,0.5747,0.5128,False,简单图片
520324,000000520324.jpg,0.3695,0.4988,True,复杂图片
521231,000000521231.jpg,0.9405,0.9395,False,简单图片
356612,000000356612.jpg,0.4422,0.4947,False,简单图片
257624,000000257624.jpg,0.2873,0.6608,False,简单图片
466339,000000466339.jpg,0.7827,0.781,False,简单图片
181969,000000181969.jpg,0.4814,0.5086,True,复杂图片
173091,000000173091.jpg,0.3713,0.5109,False,简单图片
14439,000000014439.jpg,0.5796,0.6203,True,复杂图片
524742,000000524742.jpg,0.0069,0.0846,False,简单图片
458790,000000458790.jpg,0.0,0.0,False,简单图片
180487,000000180487.jpg,0.6308,0.6739,False,简单图片
338560,000000338560.jpg,0.7381,0.6276,True,复杂图片
331352,000000331352.jpg,0.296,0.7011,False,简单图片
554595,000000554595.jpg,0.4351,0.1489,False,简单图片
291664,000000291664.jpg,0.8629,0.9156,True,复杂图片
78170,000000078170.jpg,0.4995,0.4407,False,简单图片
255965,000000255965.jpg,0.8814,0.884,False,简单图片
562581,000000562581.jpg,0.5428,0.7157,True,复杂图片
382030,000000382030.jpg,0.416,0.6227,True,复杂图片
208363,000000208363.jpg,0.2966,0.3778,True,复杂图片
545826,000000545826.jpg,0.4697,0.5008,False,简单图片
421455,000000421455.jpg,0.519,0.3862,False,简单图片
181499,000000181499.jpg,0.4314,0.4318,False,简单图片
260106,000000260106.jpg,0.5794,0.5392,False,简单图片
177714,000000177714.jpg,0.8242,0.7744,False,简单图片
1490,000000001490.jpg,0.4317,0.8105,True,复杂图片
127270,000000127270.jpg,0.2859,0.3547,False,简单图片
20333,000000020333.jpg,0.4003,0.5589,False,简单图片
